vendor_code,vendor_name
s9iv,pizza guy
t8wp,omar foods banasree
s4wq,fastway
s0nv,the mirage
s6er,cheese bite - malibag
s3ov,gulshan plaza restaurant
p9qb,test vendor
s8se,bread & beyond- banasree
i5sg,test restaurant x
s0bn,saffron spice
s0ze,d'popeyes
s1ji,mogol restaurant
s8nv,fried chicken & pizza
s7kr,abacus
s8ae,ffc
s8cl,banolata coffee shop - pallabi
a6xr,reshma home made kitchen
s8go,cabana sea food
s4de,pizza napoli
s4az,red chili cafe
s1ib,handi
s4sp,chittagong express
s3eh,garden of eve
s2rj,american burger-khilgaon
s4ei,asian sr hotel & restaurant
s2rf,food fiesta
u1ae,give bangladesh
s9cj,the soup corner
s1zb,exclusive sweets ltd-bashundhara
s1dq,hungry duck - old
s6cz,masud restaurant
s0fp,hirajheel sweets
s8kn,the sky room dining - old
t3jm,kisukkhon restaurant
s4ed,sweets.com
s1go,chiswick
s0sw,la bamba
s1xs,food factory-
s2um,wendy's-1
s8gr,the hungry bee
s2fa,flavors premium sweets & bakers
s7hs,aaria by zarin
s6dx,bar-b-q house
s2zl,chaap shamlao-bailey road
s6rc,flavors of china
s8hs,poplar-jfp
s6ip,cafe combo
s5ef,aroma
m7bm,extra kitchen - kishoreganj
s0xa,crepe o momo
xuka,test bolu
s9bb,nanna biriyani- banasree
s6mq,apple inn
s8ks,take a bite
s6qt,the biriyani castle
s8gx,rizbiz cafe
s0zz,meena sweets
s0xw,kook
s7ae,lingzhi burger
s1zf,salam's kitchen
s3tr,tin bela cafe and bar-b-q
s0ra,sweet king(sweets & bakery)
s4ua,the dhansiri restora-banani
s8bh,dominous pizza-gulshan
s2yn,corporate vendor
r4le,sabiha kitchen
s3ga,tejpata restaurant
s3mn,pizza inn
s4in,the original wow! burger
s5sk,syeed's food village
s3bw,chef king
s8lc,allien food
s3ry,oven fresh old
s6bc,american burger uttara (sector-3)
s9xx,helvetia
s7ll,tajmahal takeaway uttara
s9ec,extra time
s2lx,well food-
s8wt,jollichick'n-dhanmondi
d8kr,nokshi netra restaurant
s2sr,nildighi
t1fd,golden chimney restaurant
s6ly,helvetia
s1ac,entrée café lounge
s3mj,bismillah biriyani ghor
s9tk,hotel paradise & biryani house
u6gn,soudiya catering & restaurant
s8ow,munch bite
u1zm,jannat kitchen
s9xl,glazed uttara
s9ki,sbarro
s7mv,the dark music cafe & restaurant old
s6jg,melange
s0pr,albino restaurant & party hall
u5yt,test - abc
t8fr,down town
t3ro,test chain
s9pq,burger hut - motijheel
s1jq,shumi's hot cake
s3wl,tasty treat- rampura
s2ky,subcity-uttara
s3wj,madani fry chicken
s2ct,avalon restaurant
s6nr,rush tex mex cafe
s3bv,tower inn sweets & bakery
s1cx,shirasagi restaurant
u7xf,siam super shop
s6td,peda ting ting
s7ko,snow-ball and cafe
s6oj,grassroots
s7sr,broast cafe - muradpur
s9oy,ziz fast food & chinese
s4hd,yummy yummy - lalmatia - old
s1ky,clouds cafe & restaurant
s5fn,the dining room
u1ap,sn trading agency
s8zp,burger shack
s8qm,d bistro
s8ma,kababer haddi
i8at,test123
s2un,spicy broast
s9hs,kabab & curry
s6at,oroi
u6dw,mithai -
s9iz,blue horizon bistro
s2rd,burgwich town
s6kv,taaaasty
t5xk,halal testy food
yrn7,domino's pos uat
s6hd,pizza hut delivery old
s5se,classic rock coffee co.
s8cq,sayami fine dining restaurant
s3yn,spaghetti wheel
s5qe,share hope -
s2od,ffc
s0lr,kozmo banani
s0bw,meridian tandoor
s5io,chef's cuisine - banani
s6vt,diner's cuisine
s4vq,baburchi restaurant-
s9ih,spice chicken green road
u8zb,suchuna sweets & doi ghor
s2yz,food land cafe hotel & restaurant
s6ru,burger
s1hp,cookie man
s7jn,well food
s2dh,cafe 14
s2yf,hari vanga
s4bn,cafe nemo (platinum suites)
s5rs,orchard suites
s7ol,test shouren
s5je,cafe 101
s5nl,mezban chinese and bangla restaurant
s2rn,mandarin
s5ti,fries & meats
s4vb,yummy yummy - mirpur13
t1ak,vouchar test 2
s2rp,foodpanda test restaurant 2
s0ss,burger zone
s6ti,panchforon restaurant
s9ah,gharowa hotel & restaurant
s9cz,noakhali restaurant & ruti house
s2tb,food crafts
s9cn,cafe young mart
s5ma,yummy yummy-mirpur 2
s0cd,cafe mango
s2gu,cofi 11
s4ea,doner chef
x5yk,test for cm
s2jx,lounge comida - old
rqiz,food capital restaurant & biryani house
s2qc,fusion cuisine - 0ld
s3gc,sky chef
r5hz,mithai - banasree block c
t0xn,muslim sweets & dodhi - old
s1za,candy floss
s5he,taste of adora
s1km,thai bistro
s4tq,chaap station bashundhara corporate
s2nq,the jungle restaurant & cafe
s7cm,authentic thai restaurant
s2ch,pasta villa
h4cp,cheez - gulshan
s8lu,flambe
s2ed,3d cafe & more corporate
s9fp,chaap station
t5oz,pizza fresh
s0pv,coca-cola
s7tx,tom yam
s2pi,daily deli original
u8nz,shathi restaurant
s7kg,exclusive sweets ltd-badda
u0rg,bfc uttara
s7ja,grace food
s9hm,meena sweets
s8yz,triangle cafe - old
s5sq,real pizza-banani
s5qi,cuppies
s8hx,foodies corner
s4is,why not
s1ya,baraka foods
s7vb,awadhi
s1pu,tajmahal takeaway bashundhara
y9pb,test of
s8pr,diya's kitchen takeaway corporate
s9cc,shawkat kabab ghar
s1cl,beethoven cafe
s0ks,pizza mamma mia
s8pf,arabian broast chicken
s1ho,meat lovers-bashundhara
s9ip,nascent gardenia - nobu signature
s4op,fiesta restaurant
u2xd,cafe f & b - uttarkhan
s2ap,jaffroni handi
u1hg,bill bari mistanno bhandar-2
s4eh,mithai(sweets & bake)-anderkilla
s5ev,simply thai
s8ml,nfc-baridhara
t7eo,the juice box
n1fc,shad kabab ghor-3
s6zr,fiesta
s2na,oyster
s6bn,golden chimney restaurant
t7g1,tanha biryani house
s4yq,express restaurant
s8ak,popeyes coffee and fast food - laxmi bazar
s6gv,punjab kitchen
s8qj,majlish
s6uw,sandwiched
s3mp,king's burger - old
s7nm,shanghai chinese cafe
s8ur,broast cafe - lalkhan bazar
s3fy,chains
s6jp,honey dew-hq
s0dh,zaal buzz
s7bn,california fried chicken
s3zf,corporate test restaurant foodpanda
s5kn,trust shawarma house - savar
s3hc,silver spoon - old
s4wh,pizza inn uttara
scd2,spice kitchen
g1hk,test
s5jl,dhaka regency hotel & resort
s3as,yummy yummy - taltola
s7li,bat gone broke
s9vg,miss vanellis
s4kw,club wheels
s0cu,pizza pie
s4le,delicious food
s5eb,tehari on wheels - old
t0ic,online cake shop - deactivated
s8ge,sung food garden - old
s1hw,emmanuelle's banquet hall
s8hg,abacus-dhanmondi
s9xz,hiramon cafeteria
s2qv,hotel star pacific casablanca restaurant
s6nj,efes
s6gz,coffeelicious coffee-bashundhara
s5dy,sandra foods - narayanganj
s4yr,safwan's kitchen - old
s0rb,kallu kebab
s5in,chicks fast food & restaurant
u1rn,test vendor
s2nh,kebab zone
s8kw,cafe fish n chips
s5wx,asian food palace
s8ep,king's
s1kn,zaffran
t8rn,testy burger point
s7vf,bapiano's
s5sm,eze food restaurant
s3bi,bistro 6
s5oe,indulge cafe
s4uv,royal food catering - banani
s5yj,cecilian
g7df,police cafeteria & swadesh point
s5an,the panda express
s5aa,quick bite gulshan
s7pt,kababi
s3rc,sausly's panthapath
s5vz,share hope -
s0tg,thai kitchen
s2or,tehari on wheels - delivery
qi4h,day night indian restaurant - delivery
s3vg,well food-banasree
s0je,hot & crusty bakeries
s5gy,ffc
s1ju,sichuan garden restaurant
s8pn,jollichick'n-mirpur
s0mm,king's
s8nc,organic restaurant
s0im,hungry eye
s3bs,aadi
s3pj,embers
s8df,handi gost
t6sl,pure n halal (organic food) - 1
s9bj,munchies republic
s7zb,hotel al-faisal restaurant
s5fh,charity right
s9oa,chefzy cafe & cuisine
s3if,sugar rush cupcakery
s0hg,hot & crusty bakeries
s6cm,nasah petals
s9xt,happiness is sharing
s0av,korai kari
u0rr,mother's kitchen - tangail
s7jq,deluxe street food
s0rr,cafe 88
s5ry,ireland west
s3pg,ctg meridian agro ind. ltd.
s3ys,new italian pizza hut
s2hh,the eatery
s5mg,turki kebab
t6az,test restaurant for faridpur
s5cx,dahi phuchka
s7ob,spicy masala
s8xe,bayleaf
t4yk,perfe (eat better food)
sz0h,testbdssuwv2testtest
s0jr,dhahran good food
t3wc,k.s.f. soup & noodles
s7px,spice chicken banani
s8sh,savour chicken
s2sc,sausly's banani
s8hn,omit-ovi hotel & restaurant
u4wd,ibrahim store
s2uj,mexican kitchen
s4kr,meena sweets
s5co,upovog kabab ghar & biriyani house
p7ch,test user ban
s0ma,dine out
s1qj,cafeteria-mirpur
s0hr,crossroads restaurants & lounge
s0hz,tasty treat-khilgaon
t3pc,pops test bd
s6bh,yummy yummy - mirpur10
s6ex,shawarma house-banasree - old
s7ag,helvetia
s5qm,hungry k
s0tw,shiraz restaurant
s6xa,emmanuelle's fast food
s6tr,red velvet
s9cx,crazy cart
s5px,okra-fusion food
s0by,cp (probortak circle)
s2df,adda khana
s8te,bob
s9qk,nanna biryani
eggv,domino's pizza
s9bf,shumi's hot cake
s9og,eat & treat -
vac8,tanha biryani house
s4yy,red emperor
s7oz,tummy talker
s2du,shumi's hot cake
fgcp,ssu_test_231013_vp
s4ck,tfc
s0dn,kaafur
lxyy,test purpose - fpbd
l8sd,hot & fresh cafe
s8vg,subcity
s5lq,dosa restaurant
s4gs,cafe blue
d4ma,sdashgfty
s9ba,captain's kitchen - the luncheon club
s9qh,shake it
s4vi,deshi shad
s4pm,peoples food corner
u1ok,gharoa tasty food
s1vq,eat & treat
s4sn,ayojon restora & biriyani house
s7go,kathbadam
s0yb,zafran restora
s0jz,slurp
s9ds,tasty treat-shabujbag
s8cm,zaika
s2bp,daawat
s0fr,beef make
s0fc,chung king
s0ds,ocean cafe
s3ms,honey dew-hq
s0un,rio coffee
s8rl,river view corner
g8go,pushpo bilash restaurant
u6pf,test
s2vo,golden gate restaurant
s0df,new chingri chinese restaurant - old
s2su,nomads
s0qq,meena sweets
s4em,rashayan restaurant
s9ow,protaysha food's & mini chinese
s9jq,chaikhana kebab & grill
s9dj,swiss bakery
s2nf,pizzarella
s0hu,oyster-2
u4cx,tahity restaurant
s7je,the upstairs lounge
t7ec,test
s1cb,darbar-e-india
s1jo,3d cafe & more
s4xh,tbc express
s2vj,cricket kitchen
s1ba,cheap & best
s6xn,monster meat
s9fw,royal lounge
t6mc,fuchka corner (khulna convention centre & late night restaurant)
s4dc,yummy yummy - moghbazar - old
s8xg,subcity express
s6dv,la bamba
s8ws,candle light coffee
s3zj,dfc (delicious fried chicken)
h3bg,testing
u6gk,ma general store
s1vd,meatopia
s5dm,bhojon bari-khilgaon
s1ak,hot plate
s9bq,tasty treat-indira road
s1hy,burger world
t2eh,meat & eat restaurant
u2wr,mollika shahi juice corner
s2vx,mexi-ind
s4hx,rice & noodle corporate
s7oq,mel bourne
s4jt,sbarro
s6fy,doner & gyros
s3gg,wifi street food
s8hc,pizza inn banani
s5nr,food 24x7 restaurant corporate
s7gs,shumi's hot cake
s4mn,share food restaurant
s2wi,fish n chips
s0wo,pizza guy
s7ls,chicken hut - dhanmondi
s3fg,shing heong
s0lc,the aristocrat
s9mn,the hujurs food
s2fc,well park rooftop bbq
s9jl,chaap station- bashundhara
s5rn,terra bistro (platinum suites)-uttara
s2gn,the cafe suavis
s1ip,farmer's market
s7hx,italian burger
s9ha,tehari king
s3mi,the palate circus
s6fu,food papa - uttara
s1ha,cafe de partex
s8qp,nasah petals
s4nd,sausly's motijheel
s2og,food street
s4sl,shawarma house
s3ss,dhaka prime sweets & bakery
s6tm,heritage pizza
s6lf,hungry head
s7lh,great india restaurant & party center
s8wu,tejpata cafe
s9tp,chips & gravy
s8fg,american burger-mohammadpur-old
s9kg,peppers restaurant
s1nl,lfc - tongi
s2cn,the spud effect
s5bc,well food
s2ah,tekiya jamuna future park
s6yw,shawarma kabasish house
s1nv,golden subway
u5tx,mandolin cafe-old
s0sa,hamza food corner
s8ro,continent sea princess hotel
s4cs,candy floss
s1do,tajmahal takeaway banani
s5ml,the glass house
s7ih,hot & crusty bakeries
s4bj,hunger anger foods
i4kt,al-arafah misty ghor(aadi)
s0vv,re-eat
s9cr,food fair - old
s5sp,lalbagh tehari ghor - mirpur
s1gv,kozmo dhanmondi
s1qq,kure ghor
s1gc,dialogue
s9sa,smlxl open lounge-banani
s1ux,dominous pizza
s9an,the olives
s3he,hot & crusty bakeries
s7cl,ruchitam
s5is,platter
s5ms,hello sir
s6jq,twisted recipe - old
s9hc,roxy biriyani & juice bar
s1zw,food express 2 - dhanmondi
s3uc,pizza inn niketon
s5mu,shumi's hot cake
t0dq,fire & spice
s9kl,lunch box
t3sy,nababi chicken biryani
s6vm,pizza house
s2ud,rock & roll
s3zm,toss food lounge
s1pj,burger lab corporate
u2ev,shamim hotel
s5mc,food land cafe
s8fz,kasturi garden
s3ct,junction cafe
s6on,cafe mango
s5oa,rusta eatery
s8dw,hungry tummy
s5ya,clove
t6xm,test restaurant for camilla
s6zl,shumi's hot cake
s3oq,mithai(sweets & bake)-kotwali
s9gx,satay food world & party center
s5kv,hot n roll - dhanmondi
s8lm,mandarin chinese
s4iy,delhi-6
t6wm,new dozen juice bar & fast food
s1wp,candy floss
s4xu,da masterchef
g2qx,mukti's kitchen
dnj9,shorisha bari kalurghat delivery
s8ky,sub lovers
s1ce,tico taco
gqkx,test lead dine in uat
s5tz,sbarro
s5us,george's la dolce vita
s6za,cheese & burger
s1ea,new nahar hotel & restaurents
s6rn,adda the cafe
s3wc,the cafe bbq-baily road
u6xt,tanzina kitchen
s7mu,yummy yummy - shewrapara - old
t2dq,new vendor for test
s6st,chef the city-biriyani house
s8cw,shwarma palace
s1en,la-villa (a boutique hotel)
s0hv,sania's catering
s5vm,the lamp cafe
s2nz,food factory
s6gw,hungry street
njo2,techryde pos
y2ry,test shouren
s6xu,taco belle
s4ao,petook
s0uo,livous food - dhupkhola
s6ku,cyrus cafe
s0sz,crise cardiac grill
s3lf,labanga
s3eq,tbw fish & chips - uttara
s4ch,pavilion restaurant
s5oz,ramly burger
